Radial_alignment	Cell_speed	Linear_persistence
0.00142939159554387	1.75266387646926	0.338494080347681
1.5809195154071	2.02238458130358	0.41946119979908
0.973061719153645	1.26621856954898	0.107407745788938
1.9917182098401	0.90387912226432	0.176201970908587
1.93898002212464	6.52278772144211	0.590314360062189
0.873504175733001	7.39797605258521	0.656866308920577
0.914735043846799	4.31876109554677	0.551933653668001
0.765467834337227	5.80133095842471	0.221089078592947
0.744410241827586	2.6142022845078	0.352308848251578
0.580656759222269	0.709748819671913	0.541343316903923
0.651860859330997	4.22997314030485	0.372502537184076
0.843872311659272	3.50746398991133	0.810512878309291
0.328697728493521	2.36311868890278	0.340838412541685
0.116678420714832	0.73052380592125	0.589319286290521
0.425215174960337	3.3499365170134	0.0990754486902632
2.4986967813124	2.71211335998913	0.518562183337881
0.524843249137344	1.28428446659694	0.219374515933105
1.02123440643033	2.98156320245805	0.381038204226573
0.73809659747502	3.55226145132185	0.294897965822717
0.604160489864555	5.53249196754853	0.542354571747186
0.462978458419019	3.04578658786966	0.244656772067193
2.49210928784002	1.39757202916722	0.122916969220952
2.62648627409834	1.33293871511835	0.570902850960267
2.39930977358976	9.50454674366892	0.516795086430171
2.37896347400216	10.228655880309	0.549659981529598
3.00520903917399	3.65324839117886	0.325154870112949
2.5795893120227	1.51037542970258	0.391626691874482
1.90381596615538	1.96697473517198	0.823624939611855
1.65163962829583	0.715193422884067	0.208931076200178
1.19389101533957	2.02116814975137	0.237890179109107
1.49453594247548	3.69719883121027	0.349559650910143
1.88346087269596	5.0991464696184	0.156178568254743
3.08245143567394	5.75633633706614	0.490989772931225
2.75443844103108	3.01552530565641	0.641768938917111
2.32946551606456	0.481687546755556	0.235575620405364
0.130172781426153	0.841690519649866	0.219476826684005
0.161235230981064	1.16164304833003	0.237391951822182
2.32499532456514	1.83202980720748	0.479094374037183
2.57392722695839	1.16409773137536	0.384856590215539
2.97576591168726	3.52547159743051	0.303170771432621
2.66530852435177	1.07505283623051	0.0462974051712967
2.53785008051606	0.448497674135342	0.511738468522168
1.66685235274796	3.45672818227692	0.231801439072453
2.77741446993332	2.80464893289743	0.428921463969236
2.36037882211682	4.42145626453754	0.358355717563046
2.11036666299647	4.21012229033644	0.119370747212833
1.62818451479979	1.92651969766233	0.0565197418757679
0.749836504253252	3.33356719355463	0.210698721885397
1.10495682326306	2.57104172570563	0.278085841452839
0.616355028031717	0.399890645125358	0.269895234868378
1.04058632985264	0.80857965062007	0.548059779760764
1.17991949725699	1.66186250771715	0.136517109603635
1.28308048496156	3.44003707084692	0.107819818547639
2.81010981140496	3.63954363592059	0.3518988541549
2.20929255579824	1.38733919145148	0.156042257381408
1.8367979153484	1.68732943725705	0.328428536728732
1.73713477116425	0.411530209724166	0.597846307252288
1.43422454988055	3.25892802011355	0.28332483329599
1.57179444403224	5.59786377780158	0.107430441428828
2.28472111086494	8.59477936297529	0.245861957263922
2.73465707172958	2.52199536949839	0.492011601319894
2.67511699484345	1.28438785587967	0.281832564027672
2.32135593677671	5.27226127689572	0.224488797884599
2.39149205364043	5.08456073066023	0.269864484939159
1.31386423949611	5.67234802027987	0.758524152834749
1.00195109056588	6.33493898925059	0.478750996169505
1.35340378992138	2.887243392986	0.426639866854937
2.78483136474243	2.37129105822478	0.234356978039182
2.37889336774704	2.1399904858876	0.285649718888375
0.0902347051504581	0.444196136944027	0.544723558750395
0.539186753742539	4.23978480806285	0.627494387927047
0.14162261389679	6.51650862189568	0.280009928157129
0.377784362439355	2.32103632501288	0.146195741013103
0.392147441030529	4.45944031479599	0.337188205350212
0.761948999897304	3.94320385705409	0.36027434349068
2.31713226146456	2.08683216347034	0.444250376036462
0.38841694201589	6.76330821714687	0.203305825270901
0.492971311703811	6.45560539131429	0.182110425314873
0.310206896102148	3.87948576496486	0.203363214679884
0.161883022543182	3.2782156831303	0.876889430608636
0.53427343605305	1.94563435310709	0.24370289197291
1.60445169882336	3.06551672722631	0.486010441840556
1.26461319227519	3.32117812280302	0.387157474674351
2.46787916758865	10.2836030927364	0.263415922979191
2.42426650453376	3.9691374906282	0.481572795713516
1.27937255555032	6.6178912437837	0.205812398526683
0.148229546836952	5.58585759162938	0.590654972682533
0.101810601842562	6.47892554416539	0.343585428473502
0.422893104588889	7.00106915067995	0.404107751674867
0.862957869525265	5.87347004429564	0.467735517838149
0.363841177429023	3.12469755108695	0.229048189359401
1.75513112567368	4.51688435470632	0.653562712232336
1.96799529316048	3.57001916408493	0.161709467539135
1.72612213789709	1.84140083217135	0.289783793930701
1.79570176654529	1.98834901361286	0.135436960899364
2.38131927484556	2.49092455185105	0.348627148894476
1.33726756137272	1.02884058296743	0.28106564744391
2.19799772696253	0.41313258133239	0.304287107649183
2.19100011808506	2.86133060239796	0.185296781811639
0.341784253482187	6.48826541478085	0.672621155227197
0.291661688285145	6.53513610271924	0.296659295780311
1.90512708538634	5.59000345391744	0.318327208208049
1.91319807970866	2.70611628669818	0.134284084396836
2.17526478665021	0.289534917280753	0.220674600805447
2.4631753142842	0.651906417572907	0.312144922026024
1.70298580101135	3.09417150357419	0.272364284597981
1.22246933639809	3.85030853885817	0.230408119772745
0.828088906915987	2.36029309529204	0.525173893588669
0.903127542182974	1.22474034010232	0.20280684072707
0.963218219421268	2.24966394670942	0.423868669162341
1.81488780077642	2.11065500791561	0.0769427399091493
2.34973944975602	3.05712397506229	0.187992186874771
2.84869760213736	3.18197740070438	0.227277495730226
2.07520615805582	7.83394947294843	0.369488436054327
0.869488575977423	6.87215460168916	0.11771014879045
1.17653791288186	3.31823210655333	0.794413462257396
1.15758931576841	4.46312077138407	0.325793556173657
1.03698951774299	4.46730985388305	0.370850559574895
